
 iteration number 4 ; error 1.3340026855856735 ; parameters [0.32930682 0.49866521 0.2141793  0.98718878 0.38470715] 

 iteration number 5 ; error 1.3265650681607946 ; parameters [0.33380126 0.49999511 0.2141793  1.         0.38470715] 

 iteration number 6 ; error 0.6202547723183999 ; parameters [0.49695493 0.52169214 0.57611036 0.09050798 0.6734446 ] 

 iteration number 7 ; error 0.00798517341631919 ; parameters [0.49989137 0.50011602 0.57611036 0.50253486 0.6734446 ] 

 iteration number 1 ; error 2.9132865855977226 ; parameters [0.08085392 0.55885769 0.47884504 0.38670255 0.79016098] 

 iteration number 2 ; error 1.3408644266469882 ; parameters [0.02354258 0.49999464 0.47884504 1.         0.79016098] 

 iteration number 3 ; error 1.3141627489964092 ; parameters [0.46038164 0.50328947 0.73046699 0.49731619 0.42376018] 

 iteration number 4 ; error 1.2900198937639227 ; parameters [0.46038164 0.50328947 0.83895048 0.68116037 0.42376018] 

 iteration number 5 ; error 1.2322425371305383 ; parameters [0.45873205 0.49992508 0.83895048 1.         0.42376018] 

 iteration number 6 ; error 0.38859872630242337 ; parameters [0.49498385 0.50926233 0.79174345 0.91262558 0.35007307] 

 iteration number 7 ; error 0.006056485957540477 ; parameters [0.50003839 0.49992948 0.79174345 0.49998253 0.35007307] 

 iteration number 1 ; error 3.9673171338703104 ; parameters [0.44256615 0.58524497 0.79097947 0.45893973 0.67766979] 

 iteration number 2 ; error 3.742515482940878 ; parameters [0.44256615 0.58524497 0.07485192 0.76337262 0.67766979] 

 iteration number 3 ; error 1.2336088205975613 ; parameters [0.5412086  0.50006301 0.07485192 1.         0.67766979] 

 iteration number 4 ; error 1.0480643801584402 ; parameters [0.51032956 0.47685002 0.30311949 0.65339831 0.75724943] 

 iteration number 5 ; error 0.0072568406507074485 ; parameters [0.49990419 0.50008288 0.30311949 0.50560153 0.75724943] 

 iteration number 1 ; error 4.696894586564058 ; parameters [0.98114555 0.61046869 0.54324237 0.28883159 0.45402743] 

 iteration number 2 ; error 1.3164929843210014 ; parameters [0.73905776 0.50014628 0.54324237 1.         0.45402743] 

 iteration number 3 ; error 0.6652208261455411 ; parameters [0.50421431 0.5017657  0.91304466 0.95415926 0.20731202] 

 iteration number 4 ; error 0.005694798429383529 ; parameters [0.50011139 0.49969757 0.91304466 0.49707994 0.20731202] 

 iteration number 1 ; error 1.407556329501541 ; parameters [0.08095257 0.50653541 0.57850544 0.72284207 0.62287259] 

 iteration number 2 ; error 1.3420606307397944 ; parameters [0.06910605 0.49999555 0.57850544 1.         0.62287259] 

 iteration number 3 ; error 0.4444060452312078 ; parameters [0.49513488 0.50648188 0.01361657 0.85707036 0.31376415] 

 iteration number 4 ; error 0.0073529245040082755 ; parameters [0.4999073  0.50003963 0.01361657 0.49688217 0.31376415] 

 iteration number 1 ; error 1.7994633904762969 ; parameters [0.2745745  0.52496171 0.2958011  0.46613617 0.64377634] 

 iteration number 2 ; error 1.3165050605059192 ; parameters [0.26096135 0.49999472 0.2958011  1.         0.64377634] 

 iteration number 3 ; error 1.2620081062517283 ; parameters [0.53961877 0.5064223  0.83586162 0.91760059 0.61956989] 

 iteration number 4 ; error 1.2327041694916598 ; parameters [0.54129715 0.50006363 0.83586162 1.         0.61956989] 

 iteration number 5 ; error 0.17385056930492845 ; parameters [0.50081982 0.50072086 0.81012558 0.99355425 0.61086598] 

 iteration number 6 ; error 0.1504300521581137 ; parameters [0.50081982 0.50072086 0.30151114 0.54131898 0.61086598] 

 iteration number 7 ; error 0.005114077440348623 ; parameters [0.50011096 0.49971474 0.30151114 0.49861752 0.61086598] 

 iteration number 1 ; error 1.486830604900309 ; parameters [0.97058226 0.5161042  0.55776307 0.80847105 0.90547442] 

 iteration number 2 ; error 1.3408152132439737 ; parameters [0.97578132 0.49999358 0.55776307 1.         0.90547442] 

 iteration number 3 ; error 1.014936905838244 ; parameters [0.49735314 0.48533978 0.69926473 0.50754426 0.94279805] 

 iteration number 4 ; error 0.9510053153938457 ; parameters [0.49735314 0.48533978 0.55403911 0.99275551 0.94279805] 

 iteration number 5 ; error 0.006473368049485127 ; parameters [0.49993499 0.49997863 0.55403911 0.4984908  0.94279805] 

 iteration number 1 ; error 5.351570077931562 ; parameters [0.59941711 0.60772737 0.99647913 0.02723983 0.89838318] 

 iteration number 2 ; error 1.2327857315247088 ; parameters [0.45871294 0.49992502 0.99647913 1.         0.89838318] 

 iteration number 3 ; error 0.6140100034582407 ; parameters [0.50675481 0.47971311 0.70762075 0.15825563 0.5620537 ] 

 iteration number 4 ; error 0.5974418906857657 ; parameters [0.50675481 0.47971311 0.1654488  0.23632648 0.5620537 ] 

 iteration number 5 ; error 0.008624553388309447 ; parameters [0.50005328 0.49983223 0.1654488  0.50198588 0.5620537 ] 

 iteration number 1 ; error 2.3563962885126273 ; parameters [0.74942549 0.54514386 0.7611873  0.23619339 0.92577008] 

 iteration number 2 ; error 2.35453156199193 ; parameters [0.99102582 0.54514386 0.7611873  0.23619339 0.92577008] 

 iteration number 3 ; error 1.3415065457899178 ; parameters [0.97480532 0.49999426 0.7611873  1.         0.92577008] 

 iteration number 4 ; error 0.22557537007820902 ; parameters [0.50030201 0.49326384 0.38866932 0.94939293 0.50062394] 

 iteration number 5 ; error 0.00537911986467816 ; parameters [0.49993633 0.49993174 0.38866932 0.50217061 0.50062394] 

 iteration number 1 ; error 5.429310530241074 ; parameters [0.56809565 0.36804812 0.71302275 0.93399762 0.25194255] 

 iteration number 2 ; error 4.626963206652224 ; parameters [0.85400066 0.6056966  0.32149009 0.11279216 0.91926383] 

 iteration number 3 ; error 1.3172301934497783 ; parameters [0.73907063 0.50014576 0.32149009 1.         0.91926383] 

 iteration number 4 ; error 1.2616693433670767 ; parameters [0.50499022 0.45510536 0.0532797  0.65151782 0.76811839] 

 iteration number 5 ; error 0.005916672572258201 ; parameters [0.50000034 0.5000098  0.0532797  0.50282767 0.76811839] 

 iteration number 1 ; error 1.3175874028857248 ; parameters [0.73901249 0.50014733 0.65222127 1.         0.94196798] 

 iteration number 2 ; error 0.06488998335907528 ; parameters [0.49771931 0.50745973 0.63811003 0.99678745 0.3549647 ] 

 iteration number 3 ; error 0.007164852907121821 ; parameters [0.49987723 0.5001414  0.63811003 0.50602023 0.3549647 ] 

 iteration number 1 ; error 2.935505465557664 ; parameters [0.20863904 0.56795828 0.98084129 0.98656313 0.75059149] 

